index,创作者ID,创作者名称_x,是否官方_x,5月被开练课程数量,开练UV,开练PV,首次开练UV,首次开练PV,5月被完练课程数量,完练UV,完练PV,首次完练UV,首次完练PV,首次完练&复练UV,创作者次月完练-完练留存UV,详情页UV,详情页PV,创作者月完练-完练留存UV,创作者月完练-7日内App留存UV,次月复练率-UV,完练率-UV,当月复练率,完练-7日内App留存率,创作者名称_y,是否官方_y,classif
218,55d00fd69040f8f3d8d14b7a,瘦不了猫,[false],3.0,8810.0,29724.0,6165.0,6942.0,3.0,6263.0,24802.0,3683.0,3693.0,1047.0,1549.0,20390.0,63914.0,2803.0,4915.0,0.25,0.71,0.45,0.78,瘦不了猫,[false],1
219,5fa654719521744ec3af39ce,是胡静没错啊,[false],2.0,8582.0,14016.0,7428.0,8764.0,2.0,4518.0,7819.0,3574.0,3725.0,583.0,552.0,25845.0,64026.0,971.0,3656.0,0.12,0.53,0.21,0.81,是胡静没错啊,[false],2
221,5b6dfa44fe6e4336884085b2,waacker_AC,[false],1.0,8490.0,27972.0,1670.0,1888.0,1.0,7578.0,25784.0,1119.0,1120.0,301.0,2112.0,20978.0,62662.0,3722.0,6242.0,0.28,0.89,0.49,0.82,waacker_AC,[false],1
222,57e01dc631f1162b0265c18e,Nikko大宁,[false],5.0,8442.0,22490.0,3374.0,3955.0,5.0,6477.0,18297.0,1966.0,1983.0,500.0,2095.0,23918.0,75072.0,2751.0,5795.0,0.32,0.77,0.42,0.89,Nikko大宁,[false],1
223,5688666256e471f0678ab5a3,馨怡olivia,[false],4.0,8371.0,15330.0,6618.0,7010.0,4.0,5217.0,9763.0,4093.0,4129.0,650.0,381.0,23335.0,45591.0,1196.0,4217.0,0.07,0.62,0.23,0.81,馨怡olivia,[false],2
224,5d27097d790b93640d645649,Koach-Young,[false],340.0,8321.0,20235.0,47.0,58.0,8.0,50.0,66.0,50.0,50.0,10.0,17.0,45354.0,113420.0,10.0,39.0,0.34,0.01,0.2,0.78,Koach-Young,[false],1
225,623a9d9c59b00e00011b146b,内向的湿润了眼眶,[false],22.0,8149.0,10866.0,7848.0,8966.0,20.0,6821.0,8557.0,6581.0,7053.0,455.0,306.0,18411.0,27554.0,551.0,4356.0,0.04,0.84,0.08,0.64,内向的湿润了眼眶,[false],2
226,623a9d727f38740001829fc8,勇敢的迷途知返ゝ,[false],43.0,8148.0,12345.0,7770.0,8837.0,41.0,5142.0,7806.0,4840.0,5010.0,731.0,193.0,33802.0,63342.0,869.0,4382.0,0.04,0.63,0.17,0.85,勇敢的迷途知返ゝ,[false],2
227,623a9d968b99580001405903,开朗的大胆的往前走,[false],40.0,8123.0,11123.0,7726.0,8168.0,37.0,6796.0,8526.0,6612.0,6671.0,615.0,206.0,33294.0,52117.0,693.0,4959.0,0.03,0.84,0.1,0.73,开朗的大胆的往前走,[false],2
228,557246fbc0eab78198a0f136,马克Mark_workout,[false],13.0,7972.0,13912.0,5916.0,6516.0,13.0,4779.0,9428.0,2936.0,2992.0,506.0,599.0,21634.0,44368.0,1173.0,3978.0,0.13,0.6,0.25,0.83,马克Mark_workout,[false],2
