创作者ID,创作者名称,是否官方,5月被开练课程数量,开练UV,开练PV,首次开练UV,首次开练PV,5月被完练课程数量,完练UV,完练PV,首次完练UV,首次完练PV,首次完练&复练UV,创作者次月完练-完练留存UV,详情页UV,详情页PV,创作者月完练-完练留存UV,创作者月完练-7日内App留存UV,次月复练率-UV,完练率-UV,当月复练率,完练-7日内App留存率
587bcc6c31f1160acb2feada,Holisticfit_Cece,[false],56.00 ,104720.00 ,376438.00 ,64975.00 ,77624.00 ,56.00 ,83313.00 ,319496.00 ,45488.00 ,49219.00 ,14926.00 ,21375.00 ,230309.00 ,939553.00 ,38560.00 ,72295.00 ,0.26 ,0.80 ,0.46 ,0.87 
56e6617ec262fdf346ffd9d3,罗洪Ric,[false],73.00 ,101169.00 ,324440.00 ,66184.00 ,88814.00 ,73.00 ,78509.00 ,264565.00 ,45737.00 ,54443.00 ,17381.00 ,27042.00 ,197886.00 ,1246274.00 ,36804.00 ,69480.00 ,0.34 ,0.78 ,0.47 ,0.88 
623a9d9539df4500012050ba,敏捷的女人╮活得坚强些,[false],67.00 ,101074.00 ,150787.00 ,95804.00 ,103232.00 ,67.00 ,92140.00 ,128224.00 ,88985.00 ,92187.00 ,11373.00 ,4080.00 ,265899.00 ,493613.00 ,12491.00 ,64546.00 ,0.04 ,0.91 ,0.14 ,0.70 
57ec80e331f1160ba7e19da8,Koach-Fiona,[false],261.00 ,98010.00 ,224921.00 ,85100.00 ,113219.00 ,2.00 ,42263.00 ,94028.00 ,39446.00 ,39474.00 ,12677.00 ,4131.00 ,277782.00 ,811815.00 ,14386.00 ,32317.00 ,0.10 ,0.43 ,0.34 ,0.76 
59e88b827511ce4e24ee6d6f,Mr彦Alex,[false],313.00 ,97014.00 ,253777.00 ,85450.00 ,140120.00 ,313.00 ,55825.00 ,164920.00 ,45408.00 ,70653.00 ,12351.00 ,8722.00 ,222769.00 ,843565.00 ,14355.00 ,43479.00 ,0.16 ,0.58 ,0.26 ,0.78 
55edf12db744bee9c6245488,佳宝_JIABAO,[false],41.00 ,96364.00 ,267117.00 ,82042.00 ,105151.00 ,40.00 ,74213.00 ,219532.00 ,61017.00 ,72783.00 ,19837.00 ,14274.00 ,228978.00 ,825623.00 ,25661.00 ,63108.00 ,0.19 ,0.77 ,0.35 ,0.85 
565328ae46be44e04bd0845f,Leon家庭健身,[false],16.00 ,95012.00 ,260004.00 ,62978.00 ,74647.00 ,16.00 ,69669.00 ,203527.00 ,41311.00 ,42873.00 ,13091.00 ,19194.00 ,213434.00 ,808217.00 ,29695.00 ,60452.00 ,0.28 ,0.73 ,0.43 ,0.87 
55bce79ce188b7ebac88506b,奥博朗AllblancTV,[false],147.00 ,93215.00 ,252415.00 ,72736.00 ,92329.00 ,147.00 ,64215.00 ,189086.00 ,45632.00 ,51562.00 ,14020.00 ,15149.00 ,226068.00 ,769657.00 ,24699.00 ,53406.00 ,0.24 ,0.69 ,0.38 ,0.83 
5752daf68f3e26c41e987b8a,晓勒小乐笑了xjbl,[false],8.00 ,93020.00 ,294322.00 ,58404.00 ,66431.00 ,8.00 ,76656.00 ,255317.00 ,43810.00 ,43888.00 ,16650.00 ,26220.00 ,143259.00 ,531945.00 ,38550.00 ,65412.00 ,0.34 ,0.82 ,0.50 ,0.85 
56d068cf7efda849070dcf52,猫有力39,[false],46.00 ,87589.00 ,172927.00 ,80448.00 ,88315.00 ,46.00 ,58840.00 ,122435.00 ,53620.00 ,54736.00 ,12557.00 ,7030.00 ,225051.00 ,561054.00 ,15382.00 ,39479.00 ,0.12 ,0.67 ,0.26 ,0.67 
6258e298fe9ada0001aaee80,growwithjo,[false],82.00 ,87284.00 ,270516.00 ,86033.00 ,175968.00 ,82.00 ,55337.00 ,188651.00 ,54427.00 ,110277.00 ,28333.00 ,18746.00 ,265467.00 ,1440597.00 ,20640.00 ,49316.00 ,0.34 ,0.63 ,0.37 ,0.89 
5b685c967511ce3080e7e2f8,K-小咪,[false],60.00 ,84392.00 ,212026.00 ,59626.00 ,65893.00 ,60.00 ,59687.00 ,159397.00 ,40044.00 ,40903.00 ,10489.00 ,10263.00 ,206040.00 ,548973.00 ,21554.00 ,49345.00 ,0.17 ,0.71 ,0.36 ,0.83 
623a9d3c57a9d60001df267d,简单的时光不染回忆不淡,[false],55.00 ,84017.00 ,181880.00 ,74464.00 ,93588.00 ,52.00 ,61731.00 ,116991.00 ,55962.00 ,64392.00 ,10807.00 ,3566.00 ,197175.00 ,506525.00 ,12856.00 ,50307.00 ,0.06 ,0.73 ,0.21 ,0.81 
5d9deb1fa2d5fc1909a4de8c,我是上雅,[false],8.00 ,80394.00 ,246143.00 ,53512.00 ,65624.00 ,8.00 ,56291.00 ,191892.00 ,34317.00 ,37763.00 ,12977.00 ,11795.00 ,174092.00 ,635528.00 ,24991.00 ,47508.00 ,0.21 ,0.70 ,0.44 ,0.84 
54fe6e5c944fd9ce2dafc97a,__Erik,[false],41.00 ,80316.00 ,212256.00 ,59752.00 ,70245.00 ,41.00 ,57258.00 ,164893.00 ,38302.00 ,39290.00 ,13216.00 ,13958.00 ,204971.00 ,677290.00 ,24237.00 ,46206.00 ,0.24 ,0.71 ,0.42 ,0.81 
60a71da3ad076b6a2e2212ce,又见一莲幽梦,[false],31.00 ,80186.00 ,356540.00 ,59317.00 ,98487.00 ,30.00 ,60939.00 ,262167.00 ,41152.00 ,56342.00 ,18104.00 ,14549.00 ,119632.00 ,684576.00 ,27007.00 ,47391.00 ,0.24 ,0.76 ,0.44 ,0.78 
